IMF Spot,Mean Frequency,Variance Frequency,Rows,Cols,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,Interpolation Method
IMF 1,65818.75015880378,64236763276.71932,480.0,640.0,20776.8102825818,1.9358144256387296e+17,7.920839384388392e+23,19.10076699565141,222841.12147226886,-0.01607359108816285,798554712.5303245,9956162456590.793,Bicubic
IMF 2,87890.69276923698,113236737189.08627,480.0,640.0,27737.53981856236,4.2933712263263104e+17,2.1312164237758832e+24,-27.4264447187038,393002.7089599834,-0.005734899759022841,-1713181248.491559,26839465324074.49,Lanczos4
IMF 3,47013.060751344216,29677969113.675995,480.0,640.0,15362.985278794624,5.294232003886383e+16,1.1958830925935313e+23,-4.06900329229802,103786.16780493374,-0.037378671395744405,72072959.94422509,1569154305615.0378,Lanczos4
IMF 4,51967.3131854427,38667415784.202835,480.0,640.0,16893.375866132188,8.079947583875584e+16,2.138330587379168e+23,-0.5295872170498608,134661.23458919176,-0.02567205094212217,-132843936.31406046,3802050425021.6025,Bicubic
IMF 5,33656.254725122664,15467720414.278946,480.0,640.0,10946.17052771015,1.986060215570152e+16,3.2848196458637857e+22,13.369098561810436,53859.23561640924,0.7285397860709328,246869947.31647608,2023371259513.046,Bicubic
IMF 6,16838.243773761882,5458585860.449168,480.0,640.0,5060.215469369257,8548529276752774.0,4.19914504412508e+22,32.43887424422973,17639.49129269478,6.9036812267491845,17677495.67121419,52833345159.422295,Lanczos4
IMF 7,12579.10513311084,4855568562.861744,480.0,640.0,3624.632316408544,2.263819814452313e+16,3.238829681992276e+23,57.21481481981603,13047.436478192754,26.70803210734557,8563113.265118644,14326982342.706757,Bicubic
IMF 8,4890.681851503724,1076348755.678659,480.0,640.0,1276.699484290194,1614369740714250.8,7.313400649513557e+21,21.94464795259529,3100.032441377563,0.0,472817.89416572655,154019495.14592192,Bicubic
IMF 9,1279.221191568806,96890886.754975,480.0,640.0,318.4810931599216,21666050371032.8,5.913174729277156e+18,1.7946549195738195,317.5060809459963,0.0,71504.33287706223,18917500.00816878,Bicubic
IMF 10,1.2349578002465152e-11,4.195690042149491e-23,480.0,640.0,1.1580052218525432e-11,1.7447533350276208e-34,5.762599059028353e-45,-2.408952666973125e-17,6.330364550477853e-28,0.0,-1.3596915332932558e-40,3.546578152624305e-52,Gaussian
IMF 1,5053.886002370286,51571293.22627561,500.0,700.0,2644.5034296300587,2340643607188.2007,3.244607946879941e+17,-0.07525888782368208,220.31735596046047,0.0016952503343992814,-8780.765362317186,8487404.192397863,Lanczos4
IMF 2,6559.531151976,134978732.66606066,500.0,700.0,2294.53718364987,8033341179624.8545,1.1633822204786194e+18,-0.27756921698825143,508.512045614935,-0.0012288971970661478,7881.868667229784,83581316.052619,Lanczos4
IMF 3,6115.0610348637465,190621089.37798038,500.0,700.0,1873.264646873074,23277532402192.21,8.279584384140857e+18,0.4491330059973553,651.2698819374648,-0.0038978174272162407,79270.68193562822,53381358.42299204,Lanczos4
